"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"4533","158847  2","02",15,"1588472",1,1,0,1,1,1,1,19,14,1,0,0,1,1,0,2,1,0,35,1,14,2,1,0
"4534","158816  2","02",15,"1588162",0,2,0,1,1,1,2,17,14,2,1,0,4,1,0,2,0,2,34,1,14,0,0,0
"4535","158878  1","02",4,"1588781",0,1,0,1,5,2,1,10,11,2,0,0,1,1,0,2,0,2,23,1,11,1,0,0
"4536","158884  2","02",10,"1588842",0,2,4,1,5,2,NA,19,15,1,0,2,2,1,0,1,0,2,33,1,15,0,0,1
"4537","158833  1","02",15,"1588331",0,2,0,1,3,2,1,19,16,1,0,1,1,1,0,0,0,2,43,1,16,0,0,0
"4538","1588 6  2","02",4,"158862",0,1,0,1,2,1,2,16,16,1,0,0,1,1,0,2,1,2,23,1,16,2,1,0
"4539","1588 9  2","02",4,"158892",0,2,0,1,2,1,1,22,20,3,3,0,5,1,0,1,0,2,30,1,20,1,0,0
"4540","158886  2","02",3,"1588862",1,1,0,1,2,1,2,15,15,1,2,0,1,1,0,2,0,1,20,1,15,0,0,0
"4541","158859  2","02",4,"1588592",0,1,0,1,2,1,1,17,17,1,1,0,1,1,0,2,1,2,32,1,17,2,1,0
"4542","158842  2","02",8,"1588422",1,1,0,1,2,1,1,19,19,2,0,0,2,1,0,2,0,2,28,1,19,0,0,0
"4543","158835  2","02",10,"1588352",1,1,0,1,2,1,1,26,26,3,1,0,4,1,0,1,1,2,37,1,26,2,1,0
"4544","028827  2","02",7,"0288272",0,1,0,1,1,1,2,19,16,3,0,0,5,1,0,3,1,2,34,1,16,2,1,0
"4545","028830  1","02",12,"0288301",0,2,0,1,5,2,2,27,27,2,0,1,3,1,0,2,1,2,46,1,27,2,1,0
"4546","026115  2","02",10,"0261152",0,2,0,1,2,1,1,17,17,2,1,0,4,1,0,1,0,2,31,1,17,1,0,0
"4547","0261 1  2","02",9,"026112",1,1,0,1,2,1,2,15,15,1,1,0,3,1,0,1,1,0,32,1,15,2,1,0
"4548","0261 9  2","02",10,"026192",1,1,4,1,2,1,2,26,22,2,2,1,3,1,1,0,1,2,37,1,22,2,1,1
"4549","026170  4","02",14,"0261704",1,1,0,1,1,1,2,21,19,3,0,0,5,1,0,2,1,2,34,1,19,2,1,0
"4550","026145  2","02",12,"0261452",0,2,0,1,2,1,1,16,17,2,0,0,3,1,0,1,1,2,39,1,17,2,1,0
"4551","026151  2","02",5,"0261512",0,1,0,1,1,1,1,30,18,3,5,0,5,1,0,3,0,2,36,1,18,0,0,0
"4552","026172  1","02",9,"0261721",0,1,0,1,0,0,NA,NA,19,2,3,0,4,1,0,NA,1,2,43,1,19,2,1,0
"4553","288594  2","02",11,"2885942",1,1,0,1,1,1,1,27,19,3,20,2,5,1,0,3,1,2,41,1,19,2,1,0
"4554","027561  2","02",7,"0275612",1,1,4,1,2,1,2,19,19,2,4,0,5,1,0,1,0,2,31,1,19,0,0,1
"4555","181189  6","02",12,"1811896",0,2,4,1,5,2,2,13,12,1,0,1,5,1,0,1,1,0,40,1,12,2,1,1
"4556","181157  3","02",13,"1811573",1,2,4,1,5,2,1,16,16,2,1,0,5,1,0,1,1,2,30,1,16,2,1,1
"4557","306714  1","02",9,"3067141",1,2,0,1,5,2,1,17,16,3,5,0,5,1,0,3,1,2,27,1,16,2,1,0
"4558","306757  1","02",12,"3067571",1,2,0,1,5,2,1,23,23,3,5,0,5,1,1,3,1,2,37,1,23,2,1,0
"4559","094662  2","02",13,"0946622",1,2,0,1,1,1,1,21,20,3,2,2,5,1,0,3,1,2,36,1,20,2,1,0
"4560","0946 8  2","02",5,"094682",0,2,0,1,2,1,1,19,17,3,0,2,4,1,0,3,1,2,29,1,17,3,1,0
"4561","094677  2","02",5,"0946772",1,1,0,1,1,1,1,32,17,3,3,0,5,1,0,3,1,2,35,1,17,2,1,0
"4562","1328 7  2","02",11,"132872",1,2,0,1,1,1,1,30,28,3,6,0,5,1,0,3,1,2,42,1,28,2,1,0
"4563","132875  1","02",12,"1328751",1,2,0,1,4,2,2,29,28,3,0,1,5,1,1,3,1,2,42,1,28,2,1,0
"4564","132889  2","02",8,"1328892",1,2,0,1,2,1,1,20,18,3,0,0,5,1,0,2,1,2,29,1,18,2,1,0
"4565","234275  2","02",4,"2342752",1,1,0,1,1,1,1,19,17,3,0,3,5,1,0,2,0,2,25,1,17,0,0,0
"4566","234261  2","02",11,"2342612",1,1,0,1,2,1,1,14,13,3,0,2,5,1,0,2,0,2,25,1,13,1,0,0
"4567","234229  2","02",7,"2342292",1,2,0,1,5,2,2,25,21,3,24,0,5,1,0,3,1,2,30,1,21,2,1,0
"4568","279085  2","02",10,"2790852",1,1,0,1,2,1,1,20,19,2,1,0,5,1,0,3,0,2,32,1,19,0,0,0
"4569","279024  2","02",5,"2790242",1,1,0,1,1,1,2,13,13,1,0,0,3,1,0,1,0,1,30,1,13,0,0,0
"4570","279074  1","02",11,"2790741",1,2,0,1,5,2,1,18,19,2,0,0,5,1,0,1,1,2,32,1,19,2,1,0
"4571","277873  2","02",11,"2778732",1,2,4,1,2,1,2,21,19,2,0,0,2,1,0,2,0,2,33,1,19,1,0,1
"4572","277831  2","02",11,"2778312",1,1,0,1,2,1,2,13,13,1,0,0,2,1,0,1,0,0,26,1,13,0,0,0
"4573","277829  1","02",12,"2778291",0,2,0,1,5,2,1,17,17,1,0,0,3,1,0,0,1,2,46,1,17,2,1,0
"4574","084196  2","02",14,"0841962",0,1,0,1,2,1,1,18,18,1,3,0,4,1,0,3,1,2,41,1,18,2,1,0
"4575","084187  2","02",10,"0841872",0,1,0,1,1,1,2,24,24,1,12,0,4,1,0,3,1,1,46,1,24,2,1,0
"4576","084136  1","02",16,"0841361",0,2,0,1,5,2,1,27,27,3,1,0,4,1,0,2,1,2,49,1,27,2,1,0
"4577","084185  1","02",13,"0841851",0,1,0,1,5,2,2,17,16,1,2,0,2,1,0,8,1,1,41,1,16,2,1,0
"4578","084129  2","02",5,"0841292",1,2,0,1,2,1,1,22,20,3,2,2,5,1,0,3,1,2,34,1,20,2,1,0
"4579","032466  3","02",12,"0324663",0,1,0,1,5,2,1,12,12,2,0,0,5,1,0,2,0,2,31,1,12,1,0,0
"4580","032413  2","02",7,"0324132",0,1,0,1,2,1,2,13,13,1,0,0,2,1,0,1,0,1,23,1,13,0,0,0
